item_id,group,standards,item_information,prompt,option_a,option_b,option_c,correct,brt_response,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
M08EXE1.1_H09,8,M08EXE1.1,"(H) Here is a number to the third power. (Point to student materials.) A number to the third power is that number multiplied by itself twice. What is 2 to the third power: 4, 6, or 8?","2^3___?

What is 2 to the third power?",4,6,8,c,NA,Equation53.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,2.1,NA,NA,NA
M08EXE1.1_H10,8,M08EXE1.1,"(H) Here is a number to the third power. (Point to student materials.) A number to the third power is that number multiplied by itself three times. What is 3 to the third power: 6, 9, or 27?","3^3___?

What is 3 to the third power?",6,9,27,c,NA,Equation54.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE1.1_H11,8,M08EXE1.1,"(H) Here is a number to the third power. (Point to student materials.) A number to the third power is that number multiplied by itself three times. What is 4 to the third power: 8, 16, or 64?","4^3___?

What is 4 to the third power?",8,16,64,c,NA,Equation55.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE1.1_H12,8,M08EXE1.1,"(H) Here is a number to the third power. (Point to student materials.) A number to the third power is that number multiplied by itself three times. What is 5 to the third power: 10, 25, or 125?","5^3___?

What is 5 to the third power?",50,125,150,b,NA,Equation56.ai,NA,NA,NA,Math Equations,prompt + graphic,number only,number only,number only,Math_G8_M08EXE1.1_H12_intro.mp3,Math_G8_M08EXE1.1_H12_stem.mp3,Math_G8_M08EXE1.1_H12_a.mp3,Math_G8_M08EXE1.1_H12_b.mp3,Math_G8_M08EXE1.1_H12_c.mp3,FT,OI,OI,OI,NA,2.92,2.92,2.92,2.92
M08EXE1.1_L01,8,M08EXE1.1,"(L) Here is a number to the first power (Point to student materials.) A number to the first power equals itself. What is 5 to the first power: 1, 5, or 10?","5^1___?

A number to the first power equals itself. What is 5 to the first power?",1,5,10,b,NA,Equation57.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,OI,NA,NA,NA,1.48,1.48,NA,NA
M08EXE1.1_L02,8,M08EXE1.1,"(L) Here is a number to the first power. (Point to student materials.) A number to the first power equals itself. What is 10 to the first power: 1, 10, or 20?","10^1___?

A number to the first power equals itself. What is 10 to the first power?",1,10,20,b,NA,Equation58.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.06,NA,NA,NA
M08EXE1.1_L03,8,M08EXE1.1,"(L) Here is a number to the first power. (Point to student materials.) A number to the first power equals itself. What is 14 to the first power: 4, 10, or 14?","14^1___?

A number to the first power equals itself. What is 14 to the first power?",4,10,14,c,NA,Equation59.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.25,NA,NA,NA
M08EXE1.1_L04,8,M08EXE1.1,"(L) Here is a number to the first power. (Point to student materials.) A number to the first power equals itself. What is 19 to the first power: 1, 9, or 19?","19^1___?

A number to the first power equals itself. What is 19 to the first power?",1,9,19,c,NA,Equation60.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE1.1_M05,8,M08EXE1.1,"(M) Here is a number to the second power. (Point to student materials.) A number to the second power is that number times itself. What is 2 to the second power: 2, 4, or 8?","2^2___?

What is 2 to the second power?",2,4,8,b,NA,Equation61.ai,NA,NA,NA,Math Equations,prompt + graphic,number only,number only,number only,Math_G8_M08EXE1.1_M05_intro.mp3,Math_G8_M08EXE1.1_M05_stem.mp3,Math_G8_M08EXE1.1_M05_a.mp3,Math_G8_M08EXE1.1_M05_b.mp3,Math_G8_M08EXE1.1_M05_c.mp3,FT,OI,OI,OI,NA,0.71,0.71,0.71,0.71
M08EXE1.1_M06,8,M08EXE1.1,"(M) Here is a number to the second power. (Point to student materials.) A number to the second power is that number times itself. What is 3 to the second power: 3, 6, or 9?","3^2___?

What is 3 to the second power?",3,6,9,c,NA,Equation62.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,2.2,NA,NA,NA
M08EXE1.1_M07,8,M08EXE1.1,"(M) Here is a number to the second power. (Point to student materials.) A number to the second power is that number times itself. What is 4 to the second power: 4, 8, or 16?","4^2___?

What is 4 to the second power?",4,8,16,c,NA,Equation63.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,NA,NA,NA,NA
M08EXE1.1_M08,8,M08EXE1.1,"(M) Here is a number to the second power. (Point to student materials.) A number to the second power is that number times itself. What is 5 to the second power: 10, 25, or 30?","5^2___?

What is 5 to the second power?",10,25,30,b,NA,Equation64.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.11,NA,NA,NA
M08EXE1.1_SAMPLE,8,M08EXE1.1,"(L) Here is a number to the first power. (Point to student materials.) A number to the first power equals itself. What is 15 to the first power: 1, 15, or 20?","15^1 = _____?

A number to the first power equals itself. What is 15 to the first power?",1,15,20,b,NA,Equation65.ai,NA,NA,NA,Math Equations,NA,NA,NA,NA,NA,NA,NA,NA,NA,PT,NA,NA,NA,NA,NA,NA,NA,NA
